iter	MultiClass
0	2.154906389
1	2.058358801
2	1.946744455
3	1.846034718
4	1.767041313
5	1.687716577
6	1.623362252
7	1.542465009
8	1.494423952
9	1.437526395
10	1.383674552
11	1.332007
12	1.286627939
13	1.236512911
14	1.193643948
15	1.160502394
16	1.126647732
17	1.091256404
18	1.05448333
19	1.02593165
20	0.9959839409
21	0.9661910561
22	0.9409375914
23	0.9125614349
24	0.8857631815
25	0.86323112
26	0.8399410499
27	0.8162527691
28	0.7975055784
29	0.7789284062
30	0.7566083703
31	0.7374831118
32	0.7253693598
33	0.7084400425
34	0.6917686136
35	0.6743822448
36	0.6623188641
37	0.6460070318
38	0.6333849407
39	0.620683675
40	0.6094461035
41	0.5974136209
42	0.5848484398
43	0.571388331
44	0.5590358466
45	0.5484494191
46	0.5386984631
47	0.527139689
48	0.5179182125
49	0.5081337081
50	0.5002946959
51	0.4901805486
52	0.4823588395
53	0.474461968
54	0.4662906498
55	0.4583240697
56	0.4513951997
57	0.4437600625
58	0.435278733
59	0.4289129428
60	0.4235973904
61	0.4180913092
62	0.4115748516
63	0.404557405
64	0.3994377122
65	0.3936971836
66	0.390063198
67	0.3835809521
68	0.3766489328
69	0.3699247184
70	0.3659943164
71	0.3626637268
72	0.358089441
73	0.3524554683
74	0.3463606357
75	0.3412844104
76	0.3356917974
77	0.3327966889
78	0.3263811288
79	0.3226689392
80	0.3173698605
81	0.3149315149
82	0.3107939445
83	0.3071158808
84	0.3042026231
85	0.3002856378
86	0.2971333754
87	0.294139111
88	0.2913047155
89	0.2909225451
90	0.2889985314
91	0.2862260005
92	0.283535617
93	0.2795813348
94	0.2768973533
95	0.2751535763
96	0.2714859642
97	0.2697867589
98	0.2683791161
99	0.2680960054
