iter	Passed	Remaining
0	92	9147
1	125	6164
2	158	5119
3	191	4592
4	223	4255
5	256	4013
6	289	3841
7	321	3694
8	354	3581
9	386	3482
10	419	3392
11	451	3313
12	485	3246
13	517	3178
14	549	3114
15	582	3059
16	615	3004
17	647	2950
18	680	2900
19	713	2852
20	750	2823
21	784	2779
22	816	2733
23	848	2687
24	883	2649
25	915	2605
26	947	2561
27	979	2519
28	1012	2478
29	1044	2437
30	1077	2397
31	1109	2357
32	1142	2319
33	1174	2279
34	1207	2243
35	1244	2211
36	1286	2190
37	1320	2154
38	1353	2116
39	1387	2081
40	1420	2044
41	1453	2006
42	1485	1969
43	1518	1932
44	1552	1897
45	1584	1860
46	1617	1824
47	1649	1787
48	1682	1750
49	1715	1715
50	1748	1679
51	1780	1643
52	1814	1609
53	1850	1576
54	1884	1541
55	1917	1506
56	1950	1471
57	1984	1436
58	2017	1401
59	2050	1367
60	2083	1332
61	2117	1297
62	2149	1262
63	2182	1227
64	2216	1193
65	2249	1158
66	2282	1124
67	2316	1089
68	2349	1055
69	2382	1020
70	2416	986
71	2449	952
72	2482	918
73	2515	883
74	2547	849
75	2580	814
76	2613	780
77	2646	746
78	2678	712
79	2713	678
80	2745	644
81	2779	610
82	2813	576
83	2846	542
84	2880	508
85	2913	474
86	2947	440
87	2981	406
88	3015	372
89	3049	338
90	3082	304
91	3116	271
92	3150	237
93	3183	203
94	3217	169
95	3251	135
96	3283	101
97	3318	67
98	3352	33
99	3386	0
