iter	Passed	Remaining
0	1	589
1	1	362
2	1	284
3	1	242
4	2	221
5	2	209
6	2	198
7	3	187
8	3	183
9	3	177
10	3	171
11	4	166
12	4	163
13	4	162
14	4	158
15	5	156
16	5	153
17	5	153
18	5	150
19	6	147
20	6	145
21	6	142
22	6	141
23	7	139
24	7	137
25	7	135
26	7	134
27	7	133
28	8	131
29	8	130
30	8	129
31	8	127
32	8	127
33	9	125
34	9	124
35	9	124
36	9	122
37	10	123
38	10	122
39	10	122
40	10	121
41	11	121
42	11	119
43	11	118
44	11	118
45	11	117
46	12	117
47	12	117
48	12	117
49	12	116
50	13	115
51	13	116
52	13	115
53	13	115
54	14	115
55	14	115
56	14	114
57	15	114
58	15	118
59	16	118
60	16	118
61	16	117
62	16	117
63	17	117
64	17	116
65	17	115
66	17	115
67	18	114
68	18	114
69	18	114
70	18	112
71	18	112
72	19	111
73	19	111
74	19	110
75	19	110
76	19	109
77	20	109
78	20	108
79	20	108
80	20	107
81	21	107
82	21	106
83	21	106
84	21	105
85	21	105
86	22	104
87	22	104
88	22	103
89	22	103
90	22	103
91	23	102
92	23	102
93	23	101
94	23	101
95	24	101
96	24	100
97	24	100
98	24	99
99	24	99
100	25	99
101	25	98
102	25	98
103	25	97
104	25	97
105	26	97
106	26	96
107	26	96
108	26	95
109	26	95
110	27	95
111	27	94
112	27	94
113	27	94
114	28	93
115	28	93
116	28	93
117	28	93
118	29	92
119	29	92
120	29	92
121	29	91
122	29	91
123	30	91
124	30	90
125	30	90
126	30	90
127	30	90
128	31	89
129	31	89
130	31	89
131	31	88
132	32	88
133	32	88
134	32	88
135	32	87
136	33	87
137	33	87
138	33	87
139	33	87
140	34	86
141	34	86
142	34	86
143	34	86
144	35	85
145	35	85
146	35	85
147	35	85
148	36	84
149	36	84
150	36	84
151	36	84
152	36	83
153	37	83
154	37	83
155	37	83
156	37	82
157	38	82
158	38	82
159	38	81
160	38	81
161	39	81
162	39	81
163	39	80
164	39	80
165	39	80
166	40	79
167	40	79
168	40	79
169	40	79
170	40	78
171	41	78
172	41	78
173	41	78
174	41	77
175	42	77
176	42	77
177	42	77
178	42	76
179	43	76
180	43	76
181	43	76
182	43	75
183	44	75
184	44	75
185	44	75
186	44	74
187	44	74
188	45	74
189	45	74
190	45	73
191	45	73
192	46	73
193	46	73
194	46	73
195	46	72
196	47	72
197	47	72
198	47	72
199	47	71
200	48	71
201	48	71
202	48	71
203	48	70
204	49	70
205	49	70
206	49	70
207	49	69
208	50	70
209	50	69
210	50	69
211	51	69
212	51	69
213	51	68
214	51	68
215	52	68
216	52	68
217	52	67
218	52	67
219	52	67
220	53	67
221	53	66
222	53	66
223	53	66
224	54	66
225	54	65
226	54	65
227	54	65
228	55	65
229	55	64
230	55	64
231	55	64
232	55	64
233	56	63
234	56	63
235	56	63
236	56	63
237	57	62
238	57	62
239	57	62
240	57	62
241	57	61
242	58	61
243	58	61
244	58	61
245	58	60
246	59	60
247	59	60
248	59	59
249	59	59
250	59	59
251	60	59
252	60	58
253	60	58
254	60	58
255	61	58
256	61	57
257	61	57
258	61	57
259	61	57
260	62	56
261	62	56
262	62	56
263	62	56
264	63	55
265	63	55
266	63	55
267	63	55
268	64	55
269	64	54
270	64	54
271	64	54
272	65	54
273	65	53
274	65	53
275	65	53
276	66	53
277	66	52
278	66	52
279	66	52
280	67	52
281	67	52
282	67	51
283	67	51
284	67	51
285	68	51
286	68	50
287	68	50
288	68	50
289	69	50
290	69	49
291	69	49
292	69	49
293	69	49
294	70	48
295	70	48
296	70	48
297	70	48
298	71	47
299	71	47
300	71	47
301	71	47
302	71	46
303	72	46
304	72	46
305	72	46
306	72	45
307	73	45
308	73	45
309	73	45
310	73	44
311	74	44
312	74	44
313	74	44
314	74	43
315	74	43
316	75	43
317	75	43
318	75	42
319	75	42
320	76	42
321	76	42
322	76	41
323	76	41
324	77	41
325	77	41
326	77	41
327	77	40
328	78	40
329	78	40
330	78	40
331	78	39
332	79	39
333	79	39
334	79	39
335	79	38
336	79	38
337	80	38
338	80	38
339	80	37
340	80	37
341	81	37
342	81	37
343	81	36
344	81	36
345	81	36
346	82	36
347	82	35
348	82	35
349	82	35
350	83	35
351	83	35
352	83	34
353	83	34
354	83	34
355	84	34
356	84	33
357	84	33
358	84	33
359	85	33
360	85	32
361	85	32
362	85	32
363	85	32
364	86	31
365	86	31
366	86	31
367	86	31
368	86	30
369	87	30
370	87	30
371	87	30
372	87	29
373	88	29
374	88	29
375	88	29
376	88	28
377	88	28
378	89	28
379	90	28
380	90	28
381	90	27
382	90	27
383	91	27
384	91	27
385	91	27
386	91	26
387	91	26
388	92	26
389	92	26
390	92	25
391	92	25
392	93	25
393	93	25
394	93	24
395	93	24
396	93	24
397	94	24
398	94	23
399	94	23
400	94	23
401	95	23
402	95	22
403	95	22
404	95	22
405	95	22
406	96	21
407	96	21
408	96	21
409	96	21
410	97	21
411	97	20
412	97	20
413	97	20
414	98	20
415	98	19
416	98	19
417	98	19
418	99	19
419	99	18
420	99	18
421	99	18
422	99	18
423	100	17
424	100	17
425	100	17
426	100	17
427	101	17
428	101	16
429	101	16
430	102	16
431	102	16
432	102	15
433	103	15
434	103	15
435	103	15
436	103	14
437	103	14
438	104	14
439	105	14
440	105	14
441	105	13
442	105	13
443	106	13
444	106	13
445	106	12
446	106	12
447	106	12
448	107	12
449	107	11
450	107	11
451	108	11
452	108	11
453	108	10
454	108	10
455	108	10
456	109	10
457	109	10
458	109	9
459	109	9
460	110	9
461	110	9
462	110	8
463	110	8
