Index,Predicted,True,Confidence
311,0,1,0.68546236
372,0,1,0.685779
756,0,1,0.68612456
161,0,1,0.6877247
715,0,1,0.6889919
353,0,1,0.6890174
140,0,1,0.6896027
741,1,0,0.6945279
130,0,1,0.6959433
33,0,1,0.69868976
728,1,0,0.6992882
259,0,1,0.7000013
979,0,1,0.70049673
873,0,1,0.7031101
400,1,0,0.704383
659,1,0,0.7044575
966,1,0,0.7059098
884,0,1,0.7078614
691,1,0,0.707905
832,1,0,0.7082116
855,0,1,0.708221
256,0,1,0.7090419
98,0,1,0.71023136
695,1,0,0.71290636
343,0,1,0.7154709
448,1,0,0.7178752
546,1,0,0.7179201
796,1,0,0.71929103
945,1,0,0.71950996
409,1,0,0.7196509
588,0,1,0.7200237
974,1,0,0.72027403
11,1,0,0.72290903
145,1,0,0.72554153
975,0,1,0.72680265
987,1,0,0.7269451
907,0,1,0.7271804
633,0,1,0.7298171
652,0,1,0.73033696
360,1,0,0.7337868
486,1,0,0.73397785
990,1,0,0.73449576
970,1,0,0.738685
825,0,1,0.7394886
432,0,1,0.7406576
276,0,1,0.74104524
610,1,0,0.74275255
3,1,0,0.74469227
822,0,1,0.7492127
947,1,0,0.7545326
719,1,0,0.7546871
279,0,1,0.7555671
678,1,0,0.75644785
867,0,1,0.75726926
429,0,1,0.75850207
62,1,0,0.7659438
778,1,0,0.76784664
196,0,1,0.7760068
133,0,1,0.77988064
272,0,1,0.7804208
460,0,1,0.7809412
391,1,0,0.785983
759,0,1,0.7871636
418,0,1,0.78773767
854,1,0,0.7881734
220,1,0,0.7914759
644,0,1,0.80642647
744,0,1,0.80685854
345,1,0,0.8082778
834,1,0,0.8157862
123,0,1,0.8225155
335,1,0,0.8227722
666,1,0,0.825203
518,0,1,0.8308888
65,1,0,0.83105606
206,0,1,0.841312
626,0,1,0.8454581
173,0,1,0.8504053
651,0,1,0.85044533
679,1,0,0.8505789
375,0,1,0.85098404
299,1,0,0.8529029
396,1,0,0.8538658
303,1,0,0.8547814
806,0,1,0.85869014
330,1,0,0.86324453
648,0,1,0.8650012
376,0,1,0.8715676
465,1,0,0.87547594
51,0,1,0.8801539
889,0,1,0.8862843
177,0,1,0.89284223
121,1,0,0.9040757
842,1,0,0.9073012
378,0,1,0.91766596
575,1,0,0.9534719
813,0,1,0.961586
75,1,0,0.9632401
79,1,0,0.9717434
709,1,0,0.9971937
